ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,KitchekType,LivingRoomArea,HasBalcony,HasGarden,GardenArea
1838035,APARTMENT,FLAT_STUDIO,52934,50.0,1,,,07218,,,,RESIDENTIAL,,0.0,0.0,0.0,50,,,,True,,2008,4,True,,,True,USA_INSTALLED,,,,
1838036,APARTMENT,APARTMENT,51000,50.0,1,,,08240,,,,RESIDENTIAL,,0.0,0.0,0.0,50,,,,True,,2008,4,True,,,True,INSTALLED,,,,
1838641,APARTMENT,APARTMENT,73000,,1,,,08250,,,,RESIDENTIAL,,2000.0,800.0,800.0,,,,,,AS_NEW,2008,,,,,,,,,,
1838642,APARTMENT,APARTMENT,69000,,1,,,08224,,,,RESIDENTIAL,,0.0,0.0,0.0,,,,,,GOOD,2008,,,,,,,,,,
1839112,APARTMENT,APARTMENT,57000,,1,,,08240,,,,RESIDENTIAL,,0.0,0.0,0.0,,,,,,AS_NEW,2008,4,,,,,INSTALLED,,,,
1839193,APARTMENT,APARTMENT,93218,,1,,,09101,,,,RESIDENTIAL,,0.0,400.0,500.0,,,,,,AS_NEW,2008,,,,,,INSTALLED,,,,
1840625,APARTMENT,APARTMENT,285000,,3,,,09600,,,,RESIDENTIAL,,0.0,0.0,0.0,,,,,,GOOD,2008,4,,,,,INSTALLED,,,,
1840646,HOUSE,VILLA,285000,,3,,,09600,,,,RESIDENTIAL,,0.0,0.0,0.0,,,,,True,GOOD,2008,4,,,,,INSTALLED,,,,
1840818,HOUSE,EXCEPTIONAL_PROPERTY,73000,,1,,,08250,,,,RESIDENTIAL,,0.0,0.0,0.0,,,,,,GOOD,2008,,,,,,,,,,
1882546,HOUSE,HOUSE,97410,45.0,2,West Flanders,Flanders,8420,Wulpjesweg,,FLANDERS,RESIDENTIAL,,0.0,0.0,500.0,45,,,,,AS_NEW,2016,4,,,GAS,True,USA_INSTALLED,4,,True,110
2070520,HOUSE,VILLA,,650.0,4,Antwerp,Flanders,2950,,,FLANDERS,,,,,,650,5,,,,GOOD,2009,4,,,GAS,True,,,,True,
2083530,HOUSE,VILLA,725000,,7,,,03042,,,,,,,,,,8,,True,,,1990,,,,,,,,,,
2573581,APARTMENT,FLAT_STUDIO,,,,Antwerp,Flanders,2440,,4,FLANDERS,,,,,,,,,,,,2010,,True,,,,,,,,
2573644,APARTMENT,APARTMENT,,111.0,2,Limburg,Flanders,3980,Schoterweg,,FLANDERS,,,0.0,0.0,0.0,111,,,,,,2009,,,,,,,10,,,
2784938,HOUSE,HOUSE,101900,51.0,2,West Flanders,Flanders,8301,Heistlaan,,FLANDERS,RESIDENTIAL,,0.0,600.0,200.0,51,,,,,AS_NEW,2018,4,,,GAS,True,INSTALLED,6,,True,120
3303247,HOUSE,VILLA,,620.0,5,Antwerp,Flanders,2970,,,FLANDERS,,,,,,620,6,,,,,2012,4,,POSSIBLE_FLOOD_ZONE,,,,30,,True,
3613518,APARTMENT,FLAT_STUDIO,,35.0,,West Flanders,Flanders,8301,,7,FLANDERS,,,,,,35,,,,True,AS_NEW,,1,True,,GAS,True,HYPER_EQUIPPED,,,,
3622649,HOUSE,HOUSE,,306.0,4,West Flanders,Flanders,8770,Oostrozebekestraat,,FLANDERS,,,0.0,0.0,0.0,306,,,True,,AS_NEW,,,,,,,,,,True,
3779703,HOUSE,VILLA,,290.0,5,Flemish Brabant,Flanders,1700,achter d'abdij,,FLANDERS,RESIDENTIAL,,0.0,0.0,500.0,290,,,,,AS_NEW,1994,4,,,GAS,True,INSTALLED,20,,,
3829592,APARTMENT,GROUND_FLOOR,,150.0,3,Brussels,Brussels,1030,Avenue Paul Deschanel,,BRUSSELS,,,0.0,0.0,0.0,150,,,,True,JUST_RENOVATED,,,,,,,USA_HYPER_EQUIPPED,,,True,70
3841346,APARTMENT,APARTMENT,,100.0,3,West Flanders,Flanders,8300,Paul Parmentierlaan 104 | Squareview 3.1,3,FLANDERS,,,0.0,0.0,0.0,100,4,,True,,GOOD,2016,2,True,,,,,,,,
3841347,APARTMENT,APARTMENT,,135.0,3,West Flanders,Flanders,8300,Paul Parmentierlaan 104 | Squareview duplex 4.1,4,FLANDERS,,,0.0,0.0,0.0,135,4,,,,GOOD,2014,2,True,NON_FLOOD_ZONE,,,,,,,
3880650,APARTMENT,APARTMENT,302950,142.0,3,East Flanders,Flanders,9450,Bruulstraat,,FLANDERS,,,0.0,0.0,0.0,142,,,,,,,2,,,,,,,,,
3903180,HOUSE,VILLA,,480.0,4,Antwerp,Flanders,2900,,,FLANDERS,,,,,,480,5,,,,GOOD,2007,4,,,GAS,True,,30,,True,
3947116,HOUSE,VILLA,,430.0,5,Antwerp,Flanders,2900,Dennenlei,,FLANDERS,,,0.0,0.0,0.0,430,6,,True,,GOOD,1975,4,,,,True,INSTALLED,,,True,2622
3956676,HOUSE,HOUSE,,165.0,3,West Flanders,Flanders,8770,Gentstraat,,FLANDERS,,,0.0,0.0,0.0,165,,,True,,,,,,,,,,,,,
4079236,APARTMENT,APARTMENT,,82.0,2,West Flanders,Flanders,8400,,,FLANDERS,,,,,,82,,,,,GOOD,1998,,,NON_FLOOD_ZONE,,,,,,True,
4089845,HOUSE,HOUSE,,160.0,2,East Flanders,Flanders,9000,Meibloemstraat,,FLANDERS,,,0.0,0.0,0.0,160,,,,,TO_BE_DONE_UP,,,,,,,,,,,
4132492,APARTMENT,APARTMENT,210000,,1,Antwerp,Flanders,2140,Turnhoutsebaan,,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,,TO_BE_DONE_UP,,1,,,,,SEMI_EQUIPPED,4,,,
4183567,APARTMENT,APARTMENT,,,3,West Flanders,Flanders,8400,Duinenstraat,4,FLANDERS,,,0.0,0.0,0.0,,,,,,GOOD,,2,True,,,,,,,,
4329019,HOUSE,VILLA,,550.0,4,Antwerp,Flanders,2970,Pater Nuyenslaan,,FLANDERS,,,0.0,0.0,0.0,550,5,,True,,GOOD,1989,,,,,,,75,,True,
4503569,HOUSE,VILLA,,200.0,4,Flemish Brabant,Flanders,1740,hoevestraat,,FLANDERS,RESIDENTIAL,,1000.0,900.0,700.0,200,,True,True,,AS_NEW,1988,4,,,GAS,True,INSTALLED,20,,,
4611027,APARTMENT,DUPLEX,895000,200.0,3,Brussels,Brussels,1060,,,BRUSSELS,,,,,,200,5,,,True,AS_NEW,,2,,,GAS,,USA_HYPER_EQUIPPED,,,,
