ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,HasBalcony,HasGarden,GardenArea,KitchekType,LivingRoomArea
8775818,APARTMENT,APARTMENT,,60.0,1,Liège,Wallonie,4000,Boulevard Frere - Orban,1,WALLONIE,URBAN,,0.0,0.0,0.0,60,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775820,APARTMENT,APARTMENT,,69.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,1,WALLONIE,URBAN,,0.0,0.0,0.0,69,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775821,APARTMENT,APARTMENT,,70.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,2,WALLONIE,URBAN,,0.0,0.0,0.0,70,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775822,APARTMENT,DUPLEX,,119.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,4,WALLONIE,URBAN,,0.0,0.0,0.0,119,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775823,APARTMENT,APARTMENT,,65.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,5,WALLONIE,URBAN,,0.0,0.0,0.0,65,,,,True,AS_NEW,,,True,,GAS,True,,,,,
8775824,APARTMENT,DUPLEX,,119.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,2,WALLONIE,URBAN,,0.0,0.0,0.0,119,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775825,APARTMENT,DUPLEX,,120.0,2,Liège,Wallonie,4000,Boulevard Frere - Orban,2,WALLONIE,URBAN,,0.0,0.0,0.0,120,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8775826,APARTMENT,TRIPLEX,,152.0,3,Liège,Wallonie,4000,Boulevard Frere - Orban,,WALLONIE,URBAN,,0.0,0.0,0.0,152,,,,True,AS_NEW,2020,,,,GAS,True,,,,,
8775828,APARTMENT,PENTHOUSE,,207.0,4,Liège,Wallonie,4000,Boulevard Frere - Orban,8,WALLONIE,URBAN,,0.0,0.0,0.0,207,,,,True,AS_NEW,2020,,True,,GAS,True,,,,,
8776149,HOUSE,HOUSE,,,3,Luxembourg,Wallonie,6780,rue d'Aubange,,WALLONIE,ISOLATED,,0.0,0.0,0.0,,,True,,True,TO_RENOVATE,,4,,,FUELOIL,True,,True,3000,NOT_INSTALLED,16
